＃,Japanese,English,French,German
2691,ゴム粉,rubber powder,"poudre de caoutchouc (f), caoutchouc en poudre (m)",Gummikrumel (m)
2692,ゴム支承［構造物の］,rubber bearing,"palier amortisseur (m), palier en caoutchouc (m)",Gummilager (n)
2693,ゴムシュー,rubber shoe,patin en caoutchouc (m),Gummischuh (m)
2694,ゴム状弾性,"elastomeric properties, rubber-like elasticity, rubber-like properties","elasticite caoutchouteuse (f), elasticite du caoutchouc (m)",kautschukahnliche Elastizitat (f)
2695,ゴム弾性車輪,rubber resilient wheel,roue elastique en caoutchouc (f),gummigefedertes Rad (n)
2696,COMTRAC,computer aided traffic control system,systeme de controle-commande du trafic ferroviaire assiste par ordinateur (m),rechnerunterstutztes Zuglaufsteuerungssystem (n)
2697,ゴムパッド［軌道の］,rubber pad,"isolant en caoutchouc (m), semelle en caoutchouc (m)","Gummikissen (n), Gummiklotz (m)"
2698,ゴムばね,"rubber spring, rubber suspension, rubber cushion","ressort en caoutchouc (m), ressort caoutchouc (m)",Gummifeder (f)
2699,ゴム張り油切り［車両の］,oil thrower with rubber（bonded）,barboteur de huile avec caoutchouc (m),Olspritzring mit Gummi (m)
2700,ゴムベルト,rubber belt,"courroie en caoutchouc (f), courroie caoutchoutee (f)","Gummiriemen (m), Gummiband（n), Gummigurt (m)"
2701,込め［空気ブレーキの］,charge,"charge (f), remplissage (m)",Belastung (f)
2702,込め位置,filling position,position de remplissage (f),Auffullungsstelle (f)
2703,込栓［木まくらぎの］,sleeper plug,"cheville (f), cheville pour trou de traverse (f)","Schwellendubel (m), Pflock (m), Pflock fur Schwellenloch (m)"
2704,コモンモードノイズ,common mode noise,bruit en mode commun (m),Gleichtaktstorung (f)
2705,コモンレール,common rail,rail commun (m),gemeinsame Schiene (f)
2706,固有振動数［架線の］,natural frequency of overhead contact line,frequence propre (f),Eigenfrequenz der Fahrleitung (f)
2707,固有振動数［構造物の］,natural frequency of structure,frequence propre (f),Eigenfrequenz des Bauwerks (f)
2708,固有値解析［運動方程式の］,eigenvalue analysis,analyse des valeurs propres (f),Eigenwertanalyse (f)
2709,護輪軌条,guard rail（米）/chamber rail（英）,contre-rail (m),"Schutz-Schiene (f), Sicherheitsschiene (f), Radlenker (m)"
2710,コルゲート形セグメント［トンネルの］,corrugate segment,voussoir ondule (m),Riffelbildungs-Formteil (m)
2711,コルゲートシース［ケーブルの］,"corrugated steel sheathing, corrugated alminum alloy sheathing",gaine d’acier ondulee (f),Stahlwellmantel (m)
2712,コールドジョイント［コンクリートの］,cold joint,"joint de brasage defectueux (m), brasage froid (m), brasage sec (m)","Kaltlotstelle (f), Kaltlotung (f)"
2713,転がり軸受,rolling bearing,roulement (m),Walzlager (n)
2714,転がり接触疲労,rolling contact fatigue,"fatigue a charge roulante (f), fatigue par contact en roulement (f)",Rollkontaktermudung (f)
2715,転がり疲れ,rolling contact fatigue,fatigue due au roulement (f),Rollkontaktermudung (f)
2716,転がり抵抗,rolling resistance,resistance au roulement (f),Rollwiderstand (m)
2717,転がり摩擦［車輪／レールの］,rolling friction,"friction due au roulement (f), friction des rails (f), frottement de roulement (m)","Walzreibung (f), rollende Reibung (f), walzende Reibung (f)"
2718,ころ式［振子装置の］,roller type,type galet (m),Rollen-Typ (m)
2719,コロナシールド,corona shield,ecran contre les effluves (m),"Spruhschutz (m), Spruhschirm (m)"
2720,コーン貫入試験［地盤の］,cone penetration test,essai de penetration au cone (m),"Kegeleindringversuch (m), Kegeldruckversuch (m)"
2721,コンクリート,concrete,beton (m),Beton (m)
2722,コンクリート橋,concrete bridge,pont en beton (m),Betonbrucke (f)
2723,コンクリート系セグメント,concrete segment,"voussoir en beton (m), segment en beton (m)","Betonsegment (n), Betontubbing (m)"
2724,コンクリート構造,concrete structure,"ouvrage en beton (m), structure du beton (f)","Betonbauwerk (n), Betonaufbau (m), Struktur des Betons (f)"
2725,コンクリート充てん鋼管,concrete filled tube,tube rempli de beton (m),mit Beton gefulltes Rohr (n)
2726,コンクリートスラブ,concrete slab,dalle en beton (f),Betonplatte (f)
2727,コンクリート柱［電柱の］,concrete pole,mat en beton (m),Betonmast (m)
2728,コンクリート道床,concrete bed,couche de plate-forme de la voie en beton (f),"Betonsohle (f), Betontragschicht (f)"
2729,コンクリート覆工,concrete lining,revetement en beton (m),"Betonauskleidung (f), Betonmantel (m), Betonummantelung (f), Betonausbau (m)"
2730,コンクリートプレーサー,concrete placer,"transporteur pneumatique de beton (m), convoyeur pneumatique de beton (m)",Druckluft-Betonforderer (m)
2731,コンクリートポンプ,concrete pump,pompe a beton (f),Betonpumpe (f)
2732,コンクリートまくらぎ,concrete sleeper,"traverse en beton (f), traverse en beton arme (f), traverse en BA (f)","Betonschwelle (f), Stahlbetonschwelle (f)"
2733,コンクリートミキサー,concrete mixer,"betonneuse (f), betonniere (f), malaxeur de beton (m)","Betonmischmaschine (f), Betonmischer (m)"
2734,コンクリート路盤,concrete roadbed,plate-forme de voie en beton (f),betonierter Bahnkorper (m)
2735,混合構造,mixed structure,structure mixte (f),gemischte Struktur (n)
2736,混合状態［超電導体の］,mixed state,etat mixte (m),Gemischt-Zustand (m)
2737,混合セメント,blended cement,"ciment melange (m), ciment de melange (m)",Mischzement (m)
2738,混合ブリッジ［整流の］,half-controlled bridge,pont mixte (m),halbgesteuerte Brucke (f)
2739,混合列車,train carrying passengers and freight,train transportant des voyageurs et des marchandises (m),Guterzug mit Personenbeforderung (m)
2740,コンコース［駅の］,concourse,"hall d’entree (m), vestibule (m), salle des pas perdus (f)","Eingangshalle (f), Empfangshalle (f), Bahnhofshalle (f)"
2741,混雑費用,"congestion cost, social cost incurred by congestion",cout de la congestion (m),"Uberlastungskosten (pl), Sozialkosten erlitten durch Uberlastung (pl)"
2742,混雑料金,fare increasing during congestion,tarif pendant les periodes d’affluence (m),erhohter Fahrpreis wahrend Staus (m)
2743,コーン支持力［地盤の］,cone bearing capacity,capacite de roulement conique (f),"Kegel, der Kapazitat tragt (m)"
2744,混触［電気回路の］,intersystem fault,defaillance par confusion electrique (f),Doppelnetz-Fehlzustand (m)
2745,コンテナ,freight container,conteneur (m),Gutercontainer (m)
2746,コンテナ運送契約,container transport contract,contrat de transport de conteneurs (m),Containertransportvertrag (m)
2747,コンテナ貨車,"container-carrying wagon, container wagon",wagon porte-conteneurs (m),"Containertragwagen (m), Containerwagen (m)"
2748,コンテナ基地,container transport base,base de transport de conteneurs (f),Containertransportstation (f)
2749,コンテナ緊締装置,container locking device,"cheville de support de conteneur (m) (f), dispositif de fixation (m) de conteneur (m), dispositif d’arrimage (m) de container (m)","Containerhaltebolzen (m), Containerhaltevorrichtung (f), Containeraufsetzzapfen (m)"
2750,コンテナ車,container car,wagon porte-conteneurs (m),"Containerwagen (m), Containertragwagen (m)"
2751,コンテナ情報システム,container information system,systeme d’information sur les conteneurs (m),Containerinformationssystem (n)
2752,コンテナ輸送,container transport,transport par conteneurs (m),Containertransport (m)
2753,コンテナ列車,container train,train porte-conteneurs (m),Containerzug (m)
2754,コンデンサボンド［軌道回路の］,"track circuit compensating capacitor, shunt capacitor",connexion a capacitance (f),"Schienenschaltkreisausgleichskondensator (m), Parallelkondensator (m)"
2755,コンパウンドカテナリー,compound catenary equipment,"catenaire compound (f), suspension catenaire composee (f)","Verbundfahrleitung (f), Fahrleitung mit Hilfstragseil (f)"
2756,コンパクター［道床の］,（ballast-）compacting machine,compacteur (m),（Bettungs-) Verdichtungsmaschine (f)
2757,コンパクトユレダス,Compact UrEDAS,UrEDAS compact (m),Kompakt-UrEDAS
2758,コンバージェンスメジャー,convergence meter,metre de convergence (m),Konvergenzmesser (m)
2759,コンバーター［電気機器の］,converter,convertisseur (m),"Umformer (m), Wechselrichter (m), Umrichter (m)"
2760,コンバーター［ディーゼル車の］,converter,convertisseur (m),"Umformer (m), Wechselrichter (m), Umrichter (m)"
2761,コンバーターブレーキ［内燃車両の］,converter brake,frein convertisseur (m),Wandlerbremse (f)
2762,COMBAT,computer and microwave balise aided train control system,systeme de controle des trains assiste par ordinateur et balises a micro-ondes (m),Rechner- und Mikrowellenbalisen-gestuztes Zugsteuerungssystem (n)
2763,コンパートメント,compartment,compartiment (m),Wagenabteil (n)
2764,コンプレッサー,compressor,compresseur (m),Kompressor (m)
2765,コンベアローダ,mucking conveyor,chargeur-convoyeur (m),Haufwerkforderband (n)
2766,混和剤［コンクリートの］,chemical admixture,adjuvant chimique (m),Zusatzmittel (n)
2767,混和材料［コンクリートの］,admixture,"adjuvant (m), produit d’addition (m)",Zusatzstoff (m)
2768,差圧検出器,differential pressure detector,detecteur de pression differentielle (m),Differentialdruckdetektor (m)
2769,差圧弁［空気ばねの］,differential pressure valve of air spring,soupape de pression differentielle du ressort pneumatique (f),Differenzdruckventil der Luftfeder (n)
2770,災害警備計画,anti-disaster preparedness planning,plan de surveillance de desastres naturels (m),Vorbereitungsplanung fur Katastrophenschutz (f)
2771,災害げた,substitute girder in di-saster,poutre de substitution dans un sinistre (f),Trager bei Katastrophe (f)
2772,災害検知装置［鉄道沿線の］,disaster detecting device,dispositif de detection des desastres (m),Katastrophenmeldegerat (n)
2773,載荷試験,loading test,essai de charge (m),Ladeprufung (f)
2774,最急勾配,steepest gradient,rampe maximale (f),maximale Steigung (f)
2775,サイクリック式遠制装置［変電所の］,cyclic remote terminal unit,unite cyclique du terminal a distance (f),zyklische Fern-Terminaleinheit (f)
2776,サイクルタイム［工事の］,"one round time, cycle time","temps de cycle (m), duree d’un cycle (f)",Zykluszeit (f)
2777,サイクロコンバーター［超電導磁気浮上式鉄道の］,cycloconverter,cycloconvertisseur (m),"Steuerumrichter (m), cycloconverter (m)"
2778,再現期間,recurrence period,periode de recurrence (f),Wiederkehrperiode (f)
2779,再現期待値,expected recurrence value,valeur de recurrence prevue (f),erwarteter Wiederkehrwert (m)
2780,最高運転速度,maximum running speed,vitesse de marche maximale (f),Hochstgeschwindigkeit (f)
2781,最高最低調速機,minimum maximum governor,manostat a ouverture minimale et maximale de pression (m),Unter- und Uberdruckwachter (m)
2782,最高作用高さ［パンタグラフの］,maximum working height,hauteur maximale de travail (f),hochste Arbeitsstellung (f)
2783,細骨材［コンクリートの］,fine aggregate,"agregat fin (m), granulat fin (m)","Feinzuschlag (m), Feinzuschlagstoff (m)"
2784,在姿検査［車両の］,"non-dismantling inspection, on-condition inspection",revision sans demontage (f),"Revision ohne Demontage (f), Untersuchung ohne Demontage (f)"
2785,在姿車輪研削盤,grinding machine for wheel being not dismantled,machine a meuler les roues montees (f),Radschleifmaschine ohne Demontage des Radsatzes (f)
2786,在姿車輪フライス盤,milling machine for wheel being not dismantled,machine a fraiser les roues des voitures (f),Radfrasmaschine ohne Demontage des Radsatzes (f)
2787,最小運転時隔,"signal headway, minimum headway",intervalle minimum entre deux trains consecutifs (m),"Signalabstand (m), minimaler Abstand (m)"
2788,最小曲線半径,minimum curve radius,rayon de courbure minimal (m),Mindestbogenhalbmesser (m)
2789,最初の込め［空気ブレーキの］,initial charge,charge initiale (f),Erstladung (f)
2790,再生可能エネルギー,renewable energy,energie renouvelable (f),erneuerbare Energien
2791,砕石路盤,crushed stone roadbed,"couche de forme en pierres concassee (f), ballast en pierres concassees (m), couche de forme en cailloux (f), ballast en cailloux (m)",Schottergleisbett (n)
2792,載雪型上家,snow-lay type shed,hangar de type accumulation de la neige (m),Schneelegertyp-Schuppen (f)
2793,最大軸重［車両の］,maximum axle load,"charge maximale par essieu (f), charge maximale admissible par essieu (f)","maximaler Achsdruck (m), maximaler Radsatzdruck (m), hochstzulassiger Achsdruck (m), hochstzulassiger Radsatzdruck (m)"
2794,最大瞬間風速,maximum instantaneous wind speed,vitesse maximum du vent instantane (f),maximale Augenblickswindgeschwindigkeit (f)
2795,最大滑り荷重［電車線金具の］,maximum sliding load,charge de glissement maximale (f),Grostschiebelast (f)
2796,最大高さ［車両の］,"maximum height, maximum height above rail level",hauteur maximale au-dessus de la face superieure des rails (f),"maximale Hohe (f), maximale Hohe uber Schienenoberkante (f)"
2797,最大長さ［車両の］,"maximum length over couplers, total length over coupling line","longueur maximale entre tetes d’attelage (f), longueur maximale hors tetes d’attelage (f)","maximale Lange uber Mittelkupplung (f), maximale Lange uber Puffer (f)"
2798,最大幅［車両の］,maximum width,largeur maximale (f),maximale Breite (f)
2799,最大引張荷重,maximum tensile load,"charge de traction maximale (f), contrainte de traction maximale (f)","Hochstzugbelastung (f), Hochstzugbeanspruchung (f)"
2800,最大励磁速度,maximum energization speed,vitesse d’excitation maximale (f),maximale Erregungsleitungsgeschwindigkeit (f)
